NameTH	NameEN	LastNameTH	LastNameEN	DepartmentTH	doc_count	cited_by_count
ปิยะวรรณ 	Piyawan 	ขนาน	Kanan	คณะพยาบาลศาสตร์	0	0
อัศนีย์ 	Assanee 	เปลี่ยนศรี	Pleinsri	คณะศิลปกรรมศาสตร์	0	0
พีระศักดิ์ 	Peerasak 	อินทรไพบูลย์	Intarapaiboon	คณะวิทยาศาสตร์และเทคโนโลยี	12	5
ณัฐพล 	Nutthapol 	จันทร์แก้ว	Junkaew	คณะวิทยาศาสตร์และเทคโนโลยี	0	0
รัชภูมิ 	Ruchapoom 	ปัญส่งเสริม	Punsongserm	คณะศิลปกรรมศาสตร์	0	0
วินชนะ 	Winchana 	ศรีวิไลทนต์	Srivilaithon	คณะแพทยศาสตร์	3	0
อลิสสา 	Alissa 	รัตนตะวัน	Ratanatawan	คณะแพทยศาสตร์	0	0
วุฒิชัย 	Wuthichai 	วงษ์ทัศนีย์กร	Wongthatsanekorn	คณะวิศวกรรมศาสตร์	10	64
ศรีชนา 	Srichana 	เจริญเนตร	Jareonnate	คณะศิลปกรรมศาสตร์	0	0
กมลวรรณ 	Kamolvan 	จิรวิศิษฎ์	Chiravisit	คณะนิติศาสตร์	0	0
พัชรี 	Patcharee 	อิศรางกูร ณ อยุธยา	Isarankura-na-ayudhya	คณะสหเวชศาสตร์	5	21
ธารินี 	Tarinee 	ลับไพรี	Lubpairee	คณะทันตแพทยศาสตร์	3	9
อาทิตยา 	Arthitaya 	นราฐากูร	Narathakoon	สถาบันภาษา	0	0
สุริยันติ์ 	Suriyan 	ปานเล่ห์	Panlay	คณะศิลปศาสตร์	1	0
ฐิติพร 	Thitiporn 	ปฐมจารุวัฒน์	Pathomjaruwat	คณะพยาบาลศาสตร์	0	0
มุนินทร์ 	Munin 	พงศาปาน	Pongsapan	คณะนิติศาสตร์	0	0
เจนกฤษฎิ์ 	Chanekrid 	อุปดิสสกุล	Oupadissakoon	คณะทันตแพทยศาสตร์	1	0
อุดม 	Udom 	ว่องไวทองดี	Wongwaithongdee	คณะทันตแพทยศาสตร์	1	0
สวัสดิศักดิ์ 	Sawadisak 	นาแถมพลอย	Natamploy	คณะทันตแพทยศาสตร์	0	0
