NameTH	NameEN	LastNameTH	LastNameEN	DepartmentTH	doc_count	cited_by_count
สายันต์ 	Sayan 	ศิริมนตรี	Sirimontree	ภาควิชาวิศวกรรมโยธา คณะวิศวกรรมศาสตร์	0	0
เอกรินทร์ 	Akekarin 	ยลระบิล	Yolrabil	คณะพาณิชยศาสตร์และการบัญชี	2	1
ศักดิ์ชัย 	Sakchai 	เลิศพานิชพันธุ์	Lertpanichpun	คณะสังคมสงเคราะห์ศาสตร์	11	0
สุรัตน์ 	Surat 	โคอินทรางกูร	Kointarangkul	คณะพาณิชยศาสตร์และการบัญชี	5	0
เยาวลักษณ์ 	Yowvalux 	อยู่เจริญสุข	Yoojaroensuk	คณะศิลปศาสตร์	4	0
ไกรวุฒิ 	Kraivut 	เจริญศิริ	Charoensiri	คณะศิลปศาสตร์	0	0
วินัย 	Winai 	รักสุนทร	Raksuntorn	ภาควิชาวิศวกรรมโยธา คณะวิศวกรรมศาสตร์	2	0
สำราญ 	Samran 	มั่นทัพ	Muntup	ภาควิชาคณิตศาสตร์และสถิติ คณะวิทยาศาสตร์และเทคโนโลยี	2	0
พจนา 	Potchana 	ธูปแก้ว	Toopkeaw	คณะวารสารศาสตร์และสื่อสารมวลชน	2	0
สมชาย 	Somchai 	สุภัทรกุล	Supattarakul	คณะพาณิชยศาสตร์และการบัญชี	10	3
นุชชากร 	Nutchakorn 	งามเสาวรส	Ngamsaowaros	ภาควิชาวิทยาการคอมพิวเตอร์ คณะวิทยาศาสตร์และเทคโนโลยี	0	0
วรรณา 	Wanna 	เจริญช่าง	Charoenchang	สถาบันภาษา	0	0
พรชัย 	Pornchai 	ยอดวิศิษฎ์ศักดิ์	Yodvisitsak	สถานวิทยาศาสตร์คลินิก คณะแพทยศาสตร์	1	0
พรระวี 	Pornrawee 	เพียรผดุงรัชต์	Peanpadungrat	สถานวิทยาศาสตร์คลินิก คณะแพทยศาสตร์	1	0
วรางกูร 	Warangkura 	อุฬารางกูร	Ularangkura	สถานวิทยาศาสตร์คลินิก คณะแพทยศาสตร์	0	0
วิราภรณ์ 	Wiraporn 	ยอดวิศิษฎ์ศักดิ์	Yodvisitsak	สถานวิทยาศาสตร์คลินิก คณะแพทยศาสตร์	0	0
สุนิสา 	Sunisa 	สมิทธากร	Smittakorn	ภาควิชาวิศวกรรมโยธา คณะวิศวกรรมศาสตร์	2	0
สุรศักดิ์ 	Surasak 	บูรณตรีเวทย์	Buranatrevedh	สถานวิทยาศาสตร์คลินิก คณะแพทยศาสตร์	20	10
ก้องเกียรติ 	Kongkiat 	กูณฑ์กันทรากร	Kulkantrakorn	สถานวิทยาศาสตร์คลินิก คณะแพทยศาสตร์	20	12
ธัญพิสิษฐ์ 	Thanpisit 	พวงจิก	Phuangchik	ภาควิชาเทคโนโลยีการเกษตร คณะวิทยาศาสตร์และเทคโนโลยี	20	7
กฤดายุทธ์ 	Kridayuth 	ชมภูมิ่ง	Chompooming	ภาควิชาวิศวกรรมโยธา คณะวิศวกรรมศาสตร์	1	0
สมชาย 	Somchai 	ชคตระการ	Chakhatrakan	ภาควิชาเทคโนโลยีการเกษตร คณะวิทยาศาสตร์และเทคโนโลยี	20	1
ธนิท 	Tanit 	เรืองรุ่งชัยกุล	Ruangrungchaikul	ภาควิชาเทคโนโลยีชนบท คณะวิทยาศาสตร์และเทคโนโลยี	1	1
